Czas$Zmienna1$Zmienna2$Zmienna3
0$0$1$2
0,1$0,099833417$1,02$1,9
0,2$0,198669331$1,08$1,8
0,3$0,295520207$1,18$1,7
0,4$0,389418342$1,32$1,6
0,5$0,479425539$1,5$1,5
0,6$0,564642473$1,72$1,4
0,7$0,644217687$1,98$1,3
0,8$0,717356091$2,28$1,2
0,9$N/A$2,62$1,1
1$0,841470985$3$1
1,1$0,89120736$3,42$0,9
1,2$0,932039086$3,88$0,8
1,3$0,963558185$4,38$0,7
1,4$0,98544973$4,92$0,6
1,5$0,997494987$5,5$0,5
1,6$0,999573603$6,12$0,4
1,7$0,99166481$6,78$0,3
1,8$0,973847631$7,48$0,2
1,9$0,946300088$8,22$0,1
2$0,909297427$9$0
2,1$0,863209367$9,82$-0,1
2,2$0,808496404$10,68$-0,2
2,3$0,745705212$11,58$-0,3
2,4$0,675463181$12,52$-0,4
2,5$0,598472144$13,5$N/A
2,6$0,515501372$14,52$-0,6
2,7$0,42737988$15,58$-0,7
2,8$0,33498815$16,68$-0,8
2,9$0,239249329$17,82$-0,9
3$N/A$19$-1
3,1$0,041580662$20,22$-1,1
3,2$-0,058374143$21,48$-1,2
3,3$-0,157745694$22,78$-1,3
3,4$-0,255541102$24,12$-1,4
3,5$-0,350783228$25,5$-1,5
3,6$-0,442520443$26,92$-1,6
3,7$-0,529836141$28,38$-1,7
3,8$-0,611857891$29,88$-1,8
3,9$-0,687766159$31,42$-1,9
4$-0,756802495$33$-2
